Thu Jun 16 08:58:47 CEST 2016,vaf,10000000,50,16,432.9,100, 21344
Thu Jun 16 08:58:58 CEST 2016,vaf,10000000,50,100,934.8,100, 51790
Thu Jun 16 08:59:30 CEST 2016,lsh,10000000,50,1,379.6,100, 772
Thu Jun 16 08:59:36 CEST 2016,lsh,10000000,50,2,235.7,100, 726
Thu Jun 16 08:59:42 CEST 2016,lsh,10000000,50,4,248.6,100, 1918
Thu Jun 16 08:59:48 CEST 2016,lsh,10000000,50,8,268.3,100, 4015
Thu Jun 16 08:59:55 CEST 2016,lsh,10000000,50,16,362.6,100, 7576
Thu Jun 16 09:00:10 CEST 2016,lsh,10000000,50,100,1017.7,100, 32478
Thu Jun 16 09:00:20 CEST 2016,pq,10000000,50,1,222.1,100, 100
Thu Jun 16 09:00:23 CEST 2016,pq,10000000,50,2,175.4,100, 100
Thu Jun 16 09:00:27 CEST 2016,pq,10000000,50,4,185.9,100, 100
Thu Jun 16 09:00:30 CEST 2016,pq,10000000,50,8,181.9,100, 100
Thu Jun 16 09:00:33 CEST 2016,pq,10000000,50,16,198.5,100, 100
Thu Jun 16 09:00:38 CEST 2016,pq,10000000,50,100,364.6,100, 100
Thu Jun 16 09:05:27 CEST 2016,ecp,10000000,128,1,117.8,100, 596
Thu Jun 16 09:05:30 CEST 2016,ecp,10000000,128,2,155.7,100, 364
Thu Jun 16 09:05:33 CEST 2016,ecp,10000000,128,4,112.5,100, 292
Thu Jun 16 09:05:35 CEST 2016,ecp,10000000,128,8,130.8,100, 591
Thu Jun 16 09:05:39 CEST 2016,ecp,10000000,128,16,174.8,100, 651
Thu Jun 16 09:05:45 CEST 2016,ecp,10000000,128,100,393.8,100, 942
Thu Jun 16 09:06:06 CEST 2016,vaf,10000000,128,1,1070.5,100, 25850
Thu Jun 16 09:06:15 CEST 2016,vaf,10000000,128,2,574.2,100, 14085
Thu Jun 16 09:06:25 CEST 2016,vaf,10000000,128,4,646.3,100, 23619
Thu Jun 16 09:06:37 CEST 2016,vaf,10000000,128,8,717.9,100, 31440
Thu Jun 16 09:06:48 CEST 2016,vaf,10000000,128,16,750.2,100, 38559
Thu Jun 16 09:07:06 CEST 2016,vaf,10000000,128,100,1242.2,100, 65966
Thu Jun 16 09:07:50 CEST 2016,lsh,10000000,128,1,414.7,100, 780
Thu Jun 16 09:07:56 CEST 2016,lsh,10000000,128,2,269.4,100, 737
Thu Jun 16 09:08:02 CEST 2016,lsh,10000000,128,4,296.7,100, 1940
Thu Jun 16 09:08:09 CEST 2016,lsh,10000000,128,8,326.2,100, 4038
Thu Jun 16 09:08:16 CEST 2016,lsh,10000000,128,16,395.2,100, 7627
Thu Jun 16 09:08:33 CEST 2016,lsh,10000000,128,100,1115.0,100, 32535
Thu Jun 16 09:08:45 CEST 2016,pq,10000000,128,1,221.8,100, 100
Thu Jun 16 09:08:48 CEST 2016,pq,10000000,128,2,174.1,100, 100
Thu Jun 16 09:08:52 CEST 2016,pq,10000000,128,4,186.8,100, 100
Thu Jun 16 09:08:55 CEST 2016,pq,10000000,128,8,177.1,100, 100
Thu Jun 16 09:08:59 CEST 2016,pq,10000000,128,16,194.6,100, 100
Thu Jun 16 09:09:05 CEST 2016,pq,10000000,128,100,378.5,100, 100
Thu Jun 16 09:24:29 CEST 2016,ecp,10000000,500,1,146.0,100, 1579
Thu Jun 16 09:24:34 CEST 2016,ecp,10000000,500,2,134.1,100, 914
Thu Jun 16 09:24:39 CEST 2016,ecp,10000000,500,4,126.1,100, 454
Thu Jun 16 09:24:45 CEST 2016,ecp,10000000,500,8,178.3,100, 1309
Thu Jun 16 09:24:50 CEST 2016,ecp,10000000,500,16,163.3,100, 1457
Thu Jun 16 09:24:58 CEST 2016,ecp,10000000,500,100,402.2,100, 519
Thu Jun 16 09:26:10 CEST 2016,vaf,10000000,500,1,4018.0,100, 75559
Thu Jun 16 09:26:40 CEST 2016,vaf,10000000,500,2,2077.3,100, 38435
Thu Jun 16 09:27:09 CEST 2016,vaf,10000000,500,4,2148.6,100, 58398
Thu Jun 16 09:27:39 CEST 2016,vaf,10000000,500,8,2202.0,100, 69738
Thu Jun 16 09:28:09 CEST 2016,vaf,10000000,500,16,2243.7,100, 76659
Thu Jun 16 09:28:47 CEST 2016,vaf,10000000,500,100,2648.7,100, 89684
Thu Jun 16 09:30:41 CEST 2016,lsh,10000000,500,1,478.4,100, 802
Thu Jun 16 09:30:50 CEST 2016,lsh,10000000,500,2,330.5,100, 723
Thu Jun 16 09:31:00 CEST 2016,lsh,10000000,500,4,350.3,100, 1905
Thu Jun 16 09:31:11 CEST 2016,lsh,10000000,500,8,401.3,100, 4024
Thu Jun 16 09:31:23 CEST 2016,lsh,10000000,500,16,506.3,100, 7545
Thu Jun 16 09:31:44 CEST 2016,lsh,10000000,500,100,1299.8,100, 32309
Thu Jun 16 09:32:03 CEST 2016,pq,10000000,500,1,213.6,100, 100
Thu Jun 16 09:32:08 CEST 2016,pq,10000000,500,2,205.1,100, 100
Thu Jun 16 09:32:14 CEST 2016,pq,10000000,500,4,213.6,100, 100
Thu Jun 16 09:32:19 CEST 2016,pq,10000000,500,8,197.3,100, 100
Thu Jun 16 09:32:24 CEST 2016,pq,10000000,500,16,207.8,100, 100
Thu Jun 16 09:32:32 CEST 2016,pq,10000000,500,100,365.7,100, 100
Thu Jun 16 13:50:30 CEST 2016,ecp,100000,10,1,127.2,100, 307
Thu Jun 16 13:50:33 CEST 2016,ecp,100000,10,2,141.6,100, 189
Thu Jun 16 13:50:35 CEST 2016,ecp,100000,10,4,95.8,100, 261
Thu Jun 16 13:50:38 CEST 2016,ecp,100000,10,8,152.6,100, 241
Thu Jun 16 13:50:42 CEST 2016,ecp,100000,10,16,136.8,100, 337
